model,mode,threshold,top_k,n,micro_f1,macro_f1,precision,recall,avg_pred_labels,median_pred_labels
B3_contact_only,threshold,0.6,,16725,0.037549297339332335,0.0015757358579067328,0.32847424684159376,0.01991280782373041,0.06152466367713005,0.0
B3_contact_only,threshold,0.61,,16725,0.03694636100600935,0.0015273670552525085,0.33266533066132264,0.01955932602804289,0.059671150971599404,0.0
B3_contact_only,threshold,0.62,,16725,0.03611838804971853,0.0015485557962395668,0.33505687693898656,0.019088016967126194,0.05781763826606876,0.0
B3_contact_only,threshold,0.63,,16725,0.035287548855388054,0.0015391300501051382,0.33760683760683763,0.018616707906209496,0.05596412556053812,0.0
B3_contact_only,threshold,0.64,,16725,0.03499161542761319,0.0015359856375260533,0.34170305676855894,0.018439967008365737,0.05476831091180867,0.0
B3_contact_only,threshold,0.65,,16725,0.03448468902200078,0.0015336667091124891,0.3464566929133858,0.0181453988452928,0.053153961136023914,0.0
B3_contact_only,threshold,0.66,,16725,0.03429724277067922,0.0015204197099973362,0.35172413793103446,0.018027571580063628,0.05201793721973094,0.0
B3_contact_only,threshold,0.67,,16725,0.033770896443397286,0.001517521402991945,0.3532863849765258,0.017733003416990693,0.05094170403587444,0.0
B3_contact_only,threshold,0.68,,16725,0.03336516317474583,0.0015127076452554338,0.35826296743063935,0.017497348886532343,0.049566517189835575,0.0
B3_contact_only,threshold,0.69,,16725,0.03261175147596289,0.001478104864154543,0.35758323057953145,0.017084953458230235,0.04849028400597907,0.0
B3_contact_only,threshold,0.7,,16725,0.032430606384775636,0.0014779594718454905,0.36594663278271916,0.016967126193001062,0.04705530642750374,0.0
B3_contact_only,threshold,0.71,,16725,0.03190350036638296,0.0014589707398134316,0.36897001303780963,0.016672558029928126,0.04585949177877429,0.0
B3_contact_only,threshold,0.72,,16725,0.0313752045595621,0.0014549586993148251,0.37215528781793844,0.01637798986685519,0.04466367713004484,0.0
B3_contact_only,threshold,0.73,,16725,0.030953456845910526,0.0014530155511671943,0.37534246575342467,0.01614233533639684,0.043647234678624816,0.0
B3_contact_only,threshold,0.74,,16725,0.030198495730362495,0.0014277956807145894,0.3765867418899859,0.015729939908094733,0.04239162929745889,0.0
